Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Area Language,,,Institute of Asian and Oriental Studies,,,Modern Asian and Middle Eastern Studies
Area Transferable Skills,,,Institute of Asian and Oriental Studies,,,Modern Asian and Middle Eastern Studies
Area Other Curricular Modules,,,Institute of Asian and Oriental Studies,,,Modern Asian and Middle Eastern Studies
Minor 30 Modern Asian and Middle Eastern Studies,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,Angelika Malinar,Kathrin Ensinger,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Single Major 120 Philosophy in Asia and the Islamic World,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,Raji Carl Ludwig Steineck,Kathrin Ensinger,Master of Arts (RVO19)
Area Transversal Reflection,,,Institute of Asian and Oriental Studies,,,Philosophy in Asia and the Islamic World
Area History of Philosophy,,,Institute of Asian and Oriental Studies,,,Philosophy in Asia and the Islamic World
Area Theoretical Philosophy,,,Institute of Asian and Oriental Studies,,,Philosophy in Asia and the Islamic World
Area Practical Philosophy and Aesthetics,,,Institute of Asian and Oriental Studies,,,Philosophy in Asia and the Islamic World
Area Source Languages,,,Institute of Asian and Oriental Studies,,,Philosophy in Asia and the Islamic World
Area Complementary Issues,,,Institute of Asian and Oriental Studies,,,Philosophy in Asia and the Islamic World
Area Other Curricular Modules,,,Institute of Asian and Oriental Studies,,,Philosophy in Asia and the Islamic World
Major 90 Sinology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts (RVO19)
"Area Language, Literature,  Media",,,Institute of Asian and Oriental Studies,,,Sinology;Sinology
"Area History, Society, Culture",,,Institute of Asian and Oriental Studies,,,Sinology;Sinology
Area Advanced and Academic Chinese,,,Institute of Asian and Oriental Studies,,,Sinology;Sinology
Area Transferable Skills,,,Institute of Asian and Oriental Studies,,,Sinology
Area Other Curricular Modules,,,Institute of Asian and Oriental Studies,,,Sinology
Area Final Modules,,,Institute of Asian and Oriental Studies,,,Sinology
Minor 30 Sinology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Major 90 French Literature/Linguistics,French,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts (RVO19)
Area Literary Perspectives,,,Department of Romance Studies,,,French Literature/Linguistics;French Literature/Linguistics
Area Linguistic Perspectives,,,Department of Romance Studies,,,French Literature/Linguistics;French Literature/Linguistics
Area French Literature: Research Focus,,,Department of Romance Studies,,,French Literature/Linguistics;French Literature/Linguistics
Area Gallo-Romance Linguistics: Research Focus,,,Department of Romance Studies,,,French Literature/Linguistics;French Literature/Linguistics
Area Language and Discursive Skills,,,Department of Romance Studies,,,French Literature/Linguistics;French Literature/Linguistics
Area Research Activity,,,Department of Romance Studies,,,French Literature/Linguistics;French Literature/Linguistics
Area Transferable Skills,,,Department of Romance Studies,,,French Literature/Linguistics
Area Other Curricular Modules,,,Department of Romance Studies,,,French Literature/Linguistics
Minor 30 French Literature/Linguistics,French,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Major 90 Ibero-Romance Literatures/Linguistics,"Spanish, Portuguese",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts (RVO19)
Area Spanish Literature,,,Department of Romance Studies,,,Ibero-Romance Literatures/Linguistics;Ibero-Romance Literatures/Linguistics
Area Latin American Literatures and Cultures,,,Department of Romance Studies,,,Ibero-Romance Literatures/Linguistics;Ibero-Romance Literatures/Linguistics
Area Portuguese Literatures,,,Department of Romance Studies,,,Ibero-Romance Literatures/Linguistics;Ibero-Romance Literatures/Linguistics
Area Ibero-Romance Linguistics,,,Department of Romance Studies,,,Ibero-Romance Literatures/Linguistics;Ibero-Romance Literatures/Linguistics
Area Communication Skills,,,Department of Romance Studies,,,Ibero-Romance Literatures/Linguistics;Ibero-Romance Literatures/Linguistics
Area Academic and Professional Activities,,,Department of Romance Studies,,,Ibero-Romance Literatures/Linguistics;Ibero-Romance Literatures/Linguistics
Area Transferable Skills,,,Department of Romance Studies,,,Ibero-Romance Literatures/Linguistics
Area Other Curricular Modules,,,Department of Romance Studies,,,Ibero-Romance Literatures/Linguistics
Minor 30 Ibero-Romance Literatures/Linguistics,"Spanish, Portuguese",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Single Major 120 Italian Studies,Italian,,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts (RVO19)
Area Italian Literature and Philology,,,Department of Romance Studies,,,Italian Studies
Area Italian and Romance Linguistics,,,Department of Romance Studies,,,Italian Studies
Area Language Skills,,,Department of Romance Studies,,,Italian Studies
Area Historical Studies,,,Department of Romance Studies,,,Italian Studies
Area Classical Studies,,,Department of Romance Studies,,,Italian Studies
Area Arts Studies,,,Department of Romance Studies,,,Italian Studies
Area Geographical Studies,,,Department of Romance Studies,,,Italian Studies
Area Demo-ethno-anthropological Studies,,,Department of Romance Studies,,,Italian Studies
Area Cultural Studies,,,Department of Romance Studies,,,Italian Studies
Area Career Skills Modules,,,Department of Romance Studies,,,Italian Studies
Area Other Curricular Modules,,,Department of Romance Studies,,,Italian Studies;Italian Literature/Linguistics
Major 90 Italian Literature/Linguistics,Italian,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts (RVO19)
Area Medieval and Renaissance Italian Literature,,,Department of Romance Studies,,,Italian Literature/Linguistics;Italian Literature/Linguistics
Area Modern and Contemporary Italian Literature,,,Department of Romance Studies,,,Italian Literature/Linguistics;Italian Literature/Linguistics
Area Italian Historical and General Linguistics,,,Department of Romance Studies,,,Italian Literature/Linguistics;Italian Literature/Linguistics
Area Research in Italian Literature,,,Department of Romance Studies,,,Italian Literature/Linguistics;Italian Literature/Linguistics
Area Research in Italian Linguistics,,,Department of Romance Studies,,,Italian Literature/Linguistics;Italian Literature/Linguistics
Area Theory and Methods: Overview,,,Department of Romance Studies,,,Italian Literature/Linguistics;Italian Literature/Linguistics
"Area Italian Language, Culture and Civilization",,,Department of Romance Studies,,,Italian Literature/Linguistics;Italian Literature/Linguistics
Area Career Skills Modules,,,Department of Romance Studies,,,Italian Literature/Linguistics;Italian Literature/Linguistics
Area Transferable Skills,,,Department of Romance Studies,,,Italian Literature/Linguistics
Minor 30 Italian Literature/Linguistics,Italian,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Minor 30 Romansh Literature/Linguistics,"Rhaeto-Romance, German",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Romansh Literature,,,Department of Romance Studies,,,Romansh Literature/Linguistics
Area Romansh Linguistics,,,Department of Romance Studies,,,Romansh Literature/Linguistics
Area Romansh Culture,,,Department of Romance Studies,,,Romansh Literature/Linguistics
Area Advanced Academic Research,,,Department of Romance Studies,,,Romansh Literature/Linguistics
Area Language Skills,,,Department of Romance Studies,,,Romansh Literature/Linguistics
Area Cumpetenzas professiunalas e transdisziplinaras,,,Department of Romance Studies,,,Romansh Literature/Linguistics
Area Core Modules of Computational Linguistics and Language Technology,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology;Computational Linguistics and Language Technology
Area Computer Science,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology;Computational Linguistics and Language Technology
Area Computational Linguistics and Language Technology in Practice,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology;Computational Linguistics and Language Technology
Major 90 Computational Linguistics and Language Technology,English,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Master of Arts (RVO19)
Area Scientific Specialization,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology;Computational Linguistics and Language Technology
Area Core Modules of Computational Linguistics and Language Technology,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology;Computational Linguistics and Language Technology
Area Computer Science,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology;Computational Linguistics and Language Technology
Area Computational Linguistics and Language Technology in Practice,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology;Computational Linguistics and Language Technology
Area Other Curricular Modules,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology
Minor 30 Computational Linguistics and Language Technology,English,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science UZH in Informatics (RVO22);Master of Science Faculty of Science (120) (2021)
Area Language Skills,,,Department of Greek and Latin Philology,,,Greek Philology;Greek Philology
Area Literature,,,Department of Greek and Latin Philology,,,Greek Philology;Greek Philology
Area Linguistics,,,Department of Greek and Latin Philology,,,Greek Philology;Greek Philology
Area Transferable Skills,,,Department of Greek and Latin Philology,,,Greek Philology
Major 90 Greek Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Ulrich Eigler,Fabian Zogg,Master of Arts (RVO19)
Area Language Skills,,,Department of Greek and Latin Philology,,,Greek Philology;Greek Philology
Area Literature,,,Department of Greek and Latin Philology,,,Greek Philology;Greek Philology
Area Linguistics,,,Department of Greek and Latin Philology,,,Greek Philology;Greek Philology
Area Transferable Skills,,,Department of Greek and Latin Philology,,,Greek Philology
Area Other Curricular Modules,,,Department of Greek and Latin Philology,,,Greek Philology
Minor 30 Greek Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Ulrich Eigler,Fabian Zogg,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Language Skills,,,Department of Greek and Latin Philology,,,Latin Philology;Latin Philology
Area Literature,,,Department of Greek and Latin Philology,,,Latin Philology;Latin Philology
Area Linguistics,,,Department of Greek and Latin Philology,,,Latin Philology;Latin Philology
Area Medieval Latin and Neo-Latin,,,Department of Greek and Latin Philology,,,Latin Philology;Latin Philology
Area Transferable Skills,,,Department of Greek and Latin Philology,,,Latin Philology
Major 90 Latin Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Ulrich Eigler,Fabian Zogg,Master of Arts (RVO19)
Area Language Skills,,,Department of Greek and Latin Philology,,,Latin Philology;Latin Philology
Area Literature,,,Department of Greek and Latin Philology,,,Latin Philology;Latin Philology
Area Linguistics,,,Department of Greek and Latin Philology,,,Latin Philology;Latin Philology
Area Medieval Latin and Neo-Latin,,,Department of Greek and Latin Philology,,,Latin Philology;Latin Philology
Area Transferable Skills,,,Department of Greek and Latin Philology,,,Latin Philology
Area Other Curricular Modules,,,Department of Greek and Latin Philology,,,Latin Philology
Minor 30 Latin Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Ulrich Eigler,Fabian Zogg,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Minor 30 Medieval Latin Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Ulrich Eigler,Fabian Zogg,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Language,,,Department of Greek and Latin Philology,,,Medieval Latin Philology
Area Methods,,,Department of Greek and Latin Philology,,,Medieval Latin Philology
Area Literature,,,Department of Greek and Latin Philology,,,Medieval Latin Philology
Major 90 Medieval Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Center of Medieval Studies,Inga Mai Groote,Maximilian Helmut Gamer,Master of Arts (RVO19)
Area Interdisciplinary Skills,,,Center of Medieval Studies,,,Medieval Studies;Medieval Studies
Area Languages and Texts,,,Center of Medieval Studies,,,Medieval Studies;Medieval Studies
Area History and Culture,,,Center of Medieval Studies,,,Medieval Studies;Medieval Studies
Area Images and Objects,,,Center of Medieval Studies,,,Medieval Studies;Medieval Studies
Area Language Ability,,,Center of Medieval Studies,,,Medieval Studies
Area Other Curricular Modules,,,Center of Medieval Studies,,,Medieval Studies
Minor 30 Medieval Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Center of Medieval Studies,Inga Mai Groote,Maximilian Helmut Gamer,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Methods,,,Department of Sociology,,,Sociology;Sociology
Area Theory,,,Department of Sociology,,,Sociology;Sociology
Area Fields of Sociology,,,Department of Sociology,,,Sociology;Sociology
Area Transferable Skills,,,Department of Sociology,,,Sociology
Area Other Curricular Modules,,,Department of Sociology,,,Sociology
Major 90 Sociology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Sociology,Jörg Rössel,Bettina Isengard,Master of Arts in Social Sciences (RVO19)
Area Theory,,,Department of Sociology,,,Sociology;Sociology
Area Methods,,,Department of Sociology,,,Sociology;Sociology
Area Life Course and Generations,,,Department of Sociology,,,Sociology;Sociology
Area Economic Sociology,,,Department of Sociology,,,Sociology;Sociology
Area Social Norms and Cooperation,,,Department of Sociology,,,Sociology;Sociology
Area Fields of Sociology,,,Department of Sociology,,,Sociology;Sociology
Area Transferable Skills,,,Department of Sociology,,,Sociology
Area Other Curricular Modules,,,Department of Sociology,,,Sociology
Minor 30 Sociology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Sociology,Jörg Rössel,Bettina Isengard,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Modern Times,,,Department of History,,,History;History
Area Transferable Skills,,,Department of History,,,History
Area Final Modules,,,Department of History,,,History
Major 90 History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts (RVO19)
Area Antiquity,,,Department of History,,,History;History
Area Middle Ages,,,Department of History,,,History;History
Area Modern Times,,,Department of History,,,History;History
Area Transferable Skills,,,Department of History,,,History
Area Other Curricular Modules,,,Department of History,,,History
Area Final Modules,,,Department of History,,,History
Minor 30 History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Minor 30 Modern History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Modern Times,,,Department of History,,,Modern History
Minor 30 Ancient History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Antiquity,,,Department of History,,,Ancient History
Minor 30 Medieval History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Middle Ages,,,Department of History,,,Medieval History
Minor 30 Eastern European History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Eastern European History,,,Department of History,,,Eastern European History
Area Modern Times,,,Department of History,,,Modern History
Area Eastern European Cultures,,,Department of History,,,Eastern European Studies
Area Eastern European History,,,Department of History,,,Eastern European Studies
Area Slavonic Linguistics,,,Department of History,,,Eastern European Studies
Area Slavonic Literary Studies,,,Department of History,,,Eastern European Studies
Area Slavonic Languages,,,Department of History,,,Eastern European Studies
Area Transferable Skills,,,Department of History,,,Eastern European Studies
Area Other Curricular Modules,,,Department of History,,,Eastern European Studies
Major 90 International Eastern European Studies,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Nada Boskovska Leimgruber,Daniel Ursprung,Master of Arts (RVO19)
Area Culture,,,Department of History,,,International Eastern European Studies
Area Eastern Europe Today,,,Department of History,,,International Eastern European Studies
Area Eastern European History,,,Department of History,,,International Eastern European Studies
Area Slavonic Linguistics,,,Department of History,,,International Eastern European Studies
Area Slavonic Literary Studies,,,Department of History,,,International Eastern European Studies
Area Slavonic Languages,,,Department of History,,,International Eastern European Studies
Area Transferable Skills,,,Department of History,,,International Eastern European Studies
Area Other Curricular Modules,,,Department of History,,,International Eastern European Studies
Area Final Modules,,,Department of History,,,International Eastern European Studies
Minor 30 Digital Linguistics,English,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Scientific Specialization,,,Department of Computational Linguistics,,,Digital Linguistics
Area Core Modules of Digital Linguistics,,,Department of Computational Linguistics,,,Digital Linguistics
Area Digital Linguistics in Practice,,,Department of Computational Linguistics,,,Digital Linguistics
Minor 60 Ancient Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Andreas Victor Walser,Fabian Zogg,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Area Introduction to Ancient Studies,,,Department of Greek and Latin Philology,,,Ancient Studies
Area Literatures and their Languages,,,Department of Greek and Latin Philology,,,Ancient Studies
Area Material Cultures,,,Department of Greek and Latin Philology,,,Ancient Studies
Area Historic Events and Developments,,,Department of Greek and Latin Philology,,,Ancient Studies
Area Religions and Philosophical Traditions,,,Department of Greek and Latin Philology,,,Ancient Studies
Area Language Skills,,,Department of Greek and Latin Philology,,,Ancient Studies
Area Methods,,,Department of Greek and Latin Philology,,,Ancient Studies
Single Major 120 Ancient Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Andreas Victor Walser,Fabian Zogg,Master of Arts (RVO19)
Area Methods,,,Department of Greek and Latin Philology,,,Ancient Studies;Ancient Studies
Area Literatures and their Languages,,,Department of Greek and Latin Philology,,,Ancient Studies;Ancient Studies
Area Material Cultures,,,Department of Greek and Latin Philology,,,Ancient Studies;Ancient Studies
Area Historic Events and Developments,,,Department of Greek and Latin Philology,,,Ancient Studies;Ancient Studies
Area Religions and Philosophical Traditions,,,Department of Greek and Latin Philology,,,Ancient Studies;Ancient Studies
Area Language Skills,,,Department of Greek and Latin Philology,,,Ancient Studies
Area Other Curricular Modules,,,Department of Greek and Latin Philology,,,Ancient Studies
Minor 30 Ancient Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Andreas Victor Walser,Fabian Zogg,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Language Skills,,,Department of Greek and Latin Philology,,,Ancient Studies
Minor 30 Economic History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Matthieu Leimgruber,Joël Henri Vincent Floris,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Arts UZH in Business and Economics (RVO22);Master of Science Faculty of Science (120) (2021)
Area Economic History Approaches,,,Department of History,,,Economic History;Economic History
Area Qualitative Economic History,,,Department of History,,,Economic History;Economic History
Area Quantitative Economic History,,,Department of History,,,Economic History;Economic History
Major 90 Economic History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Matthieu Leimgruber,Joël Henri Vincent Floris,Master of Arts (RVO19)
Area Final Modules,,,Department of History,,,Economic History
Major 90 History of the Contemporary World,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts (RVO19)
Area Methods and Concepts of the Contemporary History,,,Department of History,,,History of the Contemporary World
Area Fieldwork,,,Department of History,,,History of the Contemporary World
Area Modern Times,,,Department of History,,,History of the Contemporary World
Area Transferable Skills,,,Department of History,,,History of the Contemporary World
Area Other Curricular Modules,,,Department of History,,,History of the Contemporary World
Area Final Modules,,,Department of History,,,History of the Contemporary World
Major 120 Archaeologies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Bachelor of Arts (RVO19)
Area Introduction to Archaeologies,,,Department of Archaeology,,,Archaeologies;Archaeologies
"Area Basics of Find, Feature and Image Analysis",,,Department of Archaeology,,,Archaeologies;Archaeologies
Area Overview Archaeologies,,,Department of Archaeology,,,Archaeologies;Archaeologies
"Area Finds and Features: Analysis, Context and Interpretation",,,Department of Archaeology,,,Archaeologies;Archaeologies
"Area Basics of Fieldwork, Museum and Laboratory",,,Department of Archaeology,,,Archaeologies;Archaeologies
Area Language Learning,,,Department of Archaeology,,,Archaeologies;Archaeologies
Area Other Curricular Modules,,,Department of Archaeology,,,Archaeologies
Area Transferable Skills,,,Department of Archaeology,,,Archaeologies
Area Final Modules,,,Department of Archaeology,,,Archaeologies
Minor 60 Archaeologies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 Interdisciplinary Archaeological Sciences,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Area Introduction to Interdisciplinary Archaeological Sciences,,,Department of Archaeology,,,Interdisciplinary Archaeological Sciences
Area Basics of Interdisciplinary Archaeological Sciences,,,Department of Archaeology,,,Interdisciplinary Archaeological Sciences
Area Applications,,,Department of Archaeology,,,Interdisciplinary Archaeological Sciences
Area Practice,,,Department of Archaeology,,,Interdisciplinary Archaeological Sciences
Area Other Interdisciplinary Approaches,,,Department of Archaeology,,,Interdisciplinary Archaeological Sciences
Single Major 120 Archaeological Culture Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Master of Arts (RVO19)
Area Overview Archaeological Culture Studies,,,Department of Archaeology,,,Archaeological Culture Studies
Area Prehistoric Archaeology - Contexts,,,Department of Archaeology,,,Archaeological Culture Studies
Area Prehistoric Archaeology - Practice,,,Department of Archaeology,,,Archaeological Culture Studies
Area Classical Archaeology - Contexts,,,Department of Archaeology,,,Archaeological Culture Studies
Area Classical Archaeology - Practice,,,Department of Archaeology,,,Archaeological Culture Studies
Area Medieval Archaeology - Contexts,,,Department of Archaeology,,,Archaeological Culture Studies
Area Medieval Archaeology - Practice,,,Department of Archaeology,,,Archaeological Culture Studies
Area Acquisition of Ancient Languages,,,Department of Archaeology,,,Archaeological Culture Studies
Area Acquisition of Modern Languages,,,Department of Archaeology,,,Archaeological Culture Studies
Area Transferable Skills,,,Department of Archaeology,,,Archaeological Culture Studies
Area Other Curricular Modules,,,Department of Archaeology,,,Archaeological Culture Studies
Area Final Modules,,,Department of Archaeology,,,Archaeological Culture Studies
Major 90 Archaeologies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Master of Arts (RVO19)
Area Prehistoric Archaeology,,,Department of Archaeology,,,Archaeologies;Archaeologies
Area Classical Archaeology,,,Department of Archaeology,,,Archaeologies;Archaeologies
Area Medieval Archaeology,,,Department of Archaeology,,,Archaeologies;Archaeologies
"Area Fieldwork, Museum and Laboratory",,,Department of Archaeology,,,Archaeologies;Archaeologies
Area Language Acquisition,,,Department of Archaeology,,,Archaeologies;Archaeologies
Minor 30 Archaeologies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
